Borough,Contributing Factor 1,Contributing Factor 2,Cross Street Name,Hour of the Day,Date,Latitude,Location,Longitude,# Persons Injured,# Persons Killed,# Records,Street Name,Time,Vehicle Type 1,Vehicle Type 2,Zip Code
Unspecified,Unspecified,Unspecified,,13,9/7/2016,,,,0,0,1,VANDERBILT AVENUE,12/30/1899 1:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,13,9/7/2016,,,,0,0,1,WEST 230 STREET,12/30/1899 1:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,13,9/7/2016,,,,0,0,1,WEST 90 STREET,12/30/1899 1:09:00 PM,PICK-UP TRUCK,PASSENGER VEHICLE,
QUEENS,Unspecified,,,14,9/7/2016,,,,0,0,1,,12/30/1899 2:09:00 PM,PASSENGER VEHICLE,,11379
BROOKLYN,View Obstructed/Limited,Unspecified,,18,3/7/2017,40.65213,"(40.65213, -73.94391)",-73.94391,6,0,1,,12/30/1899 6:20:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,11203
BROOKLYN,Unspecified,Unspecified,46 STREET,18,3/7/2017,40.635372,"(40.635372, -73.988174)",-73.988174,0,0,1,14 AVENUE,12/30/1899 6:22:00 PM,SPORT UTILITY / STATION WAGON,,11219
Unspecified,Unspecified,,,18,3/7/2017,40.848877,"(40.848877, -73.91615)",-73.91615,0,0,1,NELSON AVENUE,12/30/1899 6:25:00 PM,SPORT UTILITY / STATION WAGON,,
BRONX,Turning Improperly,Unspecified,MCGRAW AVENUE,18,3/7/2017,40.83442,"(40.83442, -73.86297)",-73.86297,0,0,1,WHITE PLAINS ROAD,12/30/1899 6:30:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,10462
MANHATTAN,Driver Inattention/Distraction,Unspecified,WEST 125 STREET,18,3/7/2017,40.80897,"(40.80897, -73.94833)",-73.94833,0,0,1,7 AVENUE,12/30/1899 6:30:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10027
QUEENS,Passing or Lane Usage Improper,Passing or Lane Usage Improper,KISSENA BOULEVARD,18,3/7/2017,40.753166,"(40.753166, -73.82194)",-73.82194,0,0,1,ELDER AVENUE,12/30/1899 6:30:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,11355
STATEN ISLAND,Driver Inattention/Distraction,Unspecified,,18,3/7/2017,40.51583,"(40.51583, -74.233536)",-74.233536,0,0,1,,12/30/1899 6:30:00 PM,PASSENGER VEHICLE,,10307
Unspecified,Following Too Closely,Unspecified,,15,2/8/2017,40.68659,"(40.68659, -74.00842)",-74.00842,2,0,1,,12/30/1899 3:00:00 PM,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,
Unspecified,Following Too Closely,Unspecified,,15,2/8/2017,40.60567,"(40.60567, -74.030945)",-74.030945,0,0,1,,12/30/1899 3:01:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
BROOKLYN,Unspecified,,,15,2/8/2017,40.66857,"(40.66857, -73.86887)",-73.86887,1,0,1,,12/30/1899 3:10:00 PM,SPORT UTILITY / STATION WAGON,,11208
QUEENS,Failure to Yield Right-of-Way,,30 AVENUE,15,2/8/2017,40.769886,"(40.769886, -73.92781)",-73.92781,1,0,1,21 STREET,12/30/1899 3:10:00 PM,SPORT UTILITY / STATION WAGON,,11102
STATEN ISLAND,Driver Inattention/Distraction,Unspecified,ELLINGTON STREET,14,9/7/2016,,,,0,0,1,VANDERBILT AVENUE,12/30/1899 2:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10304
Unspecified,Unspecified,Unspecified,,14,9/7/2016,,,,0,0,1,51 STREET,12/30/1899 2:09:00 PM,PASSENGER VEHICLE,OTHER,
Unspecified,Unspecified,Unspecified,,14,9/7/2016,,,,0,0,1,BROOKLYN AVENUE,12/30/1899 2:09:00 PM,PASSENGER VEHICLE,,
STATEN ISLAND,Driver Inattention/Distraction,Unspecified,,18,3/7/2017,40.519974,"(40.519974, -74.22983)",-74.22983,0,0,1,,12/30/1899 6:30:00 PM,PASSENGER VEHICLE,,10309
Unspecified,Other Vehicular,Other Vehicular,,18,3/7/2017,40.583626,"(40.583626, -73.98407)",-73.98407,0,0,1,,12/30/1899 6:30:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
QUEENS,Turning Improperly,,QUEENS BOULEVARD,18,3/7/2017,40.72145,"(40.72145, -73.84399)",-73.84399,1,0,1,71 AVENUE,12/30/1899 6:39:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,11375
Unspecified,Passing or Lane Usage Improper,Unspecified,EAST NEW YORK AVENUE,18,3/7/2017,40.67435,"(40.67435, -73.906105)",-73.906105,1,0,1,SACKMAN STREET,12/30/1899 6:40:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,,,18,3/7/2017,40.714462,"(40.714462, -73.98166)",-73.98166,1,0,1,GRAND STREET,12/30/1899 6:41:00 PM,TAXI,,
BRONX,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,18,3/7/2017,40.858852,"(40.858852, -73.86768)",-73.86768,0,0,1,,12/30/1899 6:43:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10467
BROOKLYN,Unspecified,,BATTERY AVENUE,18,3/7/2017,40.618088,"(40.618088, -74.02274)",-74.02274,0,0,1,88 STREET,12/30/1899 6:43:00 PM,PASSENGER VEHICLE,,11228
BROOKLYN,Unspecified,Unspecified,,15,9/7/2016,,,,0,0,1,,12/30/1899 3:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11215
MANHATTAN,Unspecified,Unspecified,,15,9/7/2016,,,,0,0,1,,12/30/1899 3:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10026
BRONX,Unspecified,Unspecified,BOSTON ROAD,16,9/7/2016,,,,0,0,1,EAST 222 STREET,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10469
BRONX,Unspecified,Unspecified,,16,9/7/2016,,,,0,0,1,,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10469
QUEENS,Unspecified,Unspecified,133 AVENUE,18,3/7/2017,40.67546,"(40.67546, -73.73385)",-73.73385,1,0,1,LAURELTON PARKWAY,12/30/1899 6:45:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,11422
BRONX,Failure to Yield Right-of-Way,Unspecified,EAST 218 STREET,18,3/7/2017,40.88288,"(40.88288, -73.8632)",-73.8632,0,0,1,WHITE PLAINS ROAD,12/30/1899 6:50:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,10467
BROOKLYN,Unspecified,,WHITNEY AVENUE,18,3/7/2017,40.598476,"(40.598476, -73.93141)",-73.93141,0,1,1,GERRITSEN AVENUE,12/30/1899 6:50:00 PM,PICK-UP TRUCK,,11229
BROOKLYN,Other Vehicular,Following Too Closely,PARKSIDE AVENUE,18,3/7/2017,40.656082,"(40.656082, -73.95306)",-73.95306,1,0,1,ROGERS AVENUE,12/30/1899 6:51:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,11226
Unspecified,Driver Inattention/Distraction,Unspecified,,18,3/7/2017,40.611637,"(40.611637, -73.95079)",-73.95079,1,0,1,KINGS HIGHWAY,12/30/1899 6:53:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
Unspecified,Passing or Lane Usage Improper,Unspecified,BRUCKNER BOULEVARD,18,3/7/2017,40.826275,"(40.826275, -73.85971)",-73.85971,0,0,1,WHITE PLAINS ROAD,12/30/1899 6:55:00 PM,VAN,PASSENGER VEHICLE,
MANHATTAN,Driver Inattention/Distraction,Unspecified,BROADWAY,19,3/7/2017,40.734837,"(40.734837, -73.99076)",-73.99076,0,0,1,EAST 14 STREET,12/30/1899 7:00:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10003
QUEENS,Driver Inattention/Distraction,Unspecified,53 AVENUE,19,3/7/2017,40.739197,"(40.739197, -73.86873)",-73.86873,0,0,1,94 STREET,12/30/1899 7:00:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11373
Unspecified,Unspecified,,,19,3/7/2017,40.736313,"(40.736313, -73.85392)",-73.85392,0,0,1,62 AVENUE,12/30/1899 7:00:00 PM,SPORT UTILITY / STATION WAGON,,
Unspecified,Driver Inexperience,Unspecified,,19,3/7/2017,40.69625,"(40.69625, -73.894295)",-73.894295,0,0,1,COOPER AVENUE,12/30/1899 7:00:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
Unspecified,Physical Disability,Unspecified,,19,3/7/2017,40.712696,"(40.712696, -73.900604)",-73.900604,0,0,1,METROPOLITAN AVENUE,12/30/1899 7:00:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
BRONX,Unspecified,Unspecified,WATSON AVENUE,16,9/7/2016,,,,0,0,1,SOUND VIEW AVENUE,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10472
BROOKLYN,Unspecified,Unspecified,AVENUE D,16,9/7/2016,,,,0,0,1,EAST 57 STREET,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,,11203
BROOKLYN,Unspecified,Unspecified,,16,9/7/2016,,,,0,0,1,,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11204
Unspecified,Driver Inattention/Distraction,Unspecified,,19,3/7/2017,40.835384,"(40.835384, -73.93096)",-73.93096,0,0,1,,12/30/1899 7:00:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
QUEENS,Unsafe Speed,Unspecified,,19,3/7/2017,40.715805,"(40.715805, -73.74631)",-73.74631,1,0,1,,12/30/1899 7:00:00 PM,BICYCLE,,11428
Unspecified,Failure to Yield Right-of-Way,,,19,3/7/2017,40.862923,"(40.862923, -73.92777)",-73.92777,1,0,1,ARDEN STREET,12/30/1899 7:00:00 PM,,,
MANHATTAN,Driver Inattention/Distraction,Driver Inattention/Distraction,WEST 92 STREET,19,3/7/2017,40.791496,"(40.791496, -73.97224)",-73.97224,0,0,1,AMSTERDAM AVENUE,12/30/1899 7:05:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,10025
BRONX,Unspecified,,,19,3/7/2017,40.856583,"(40.856583, -73.84027)",-73.84027,0,0,1,,12/30/1899 7:08:00 PM,PASSENGER VEHICLE,,10461
QUEENS,Driver Inattention/Distraction,Unspecified,194 STREET,19,3/7/2017,40.76402,"(40.76402, -73.788475)",-73.788475,0,0,1,CROCHERON AVENUE,12/30/1899 7:15:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,11358
Unspecified,Reaction to Other Uninvolved Vehicle,Unspecified,,19,3/7/2017,40.722496,"(40.722496, -73.940414)",-73.940414,0,0,1,,12/30/1899 7:19:00 PM,PASSENGER VEHICLE,TAXI,
Unspecified,Driver Inexperience,Unspecified,,19,3/7/2017,40.79156,"(40.79156, -73.968475)",-73.968475,0,0,1,COLUMBUS AVENUE,12/30/1899 7:20:00 PM,TAXI,TAXI,
STATEN ISLAND,Backing Unsafely,Unspecified,AULTMAN AVENUE,19,3/7/2017,40.57299,"(40.57299, -74.13636)",-74.13636,0,0,1,RICHMOND ROAD,12/30/1899 7:30:00 PM,SPORT UTILITY / STATION WAGON,,10306
BROOKLYN,Unspecified,,,16,9/7/2016,,,,0,0,1,,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,,11238
MANHATTAN,Unspecified,Unspecified,,16,9/7/2016,,,,0,0,1,,12/30/1899 4:09:00 PM,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,10019
MANHATTAN,Unspecified,Unspecified,BROADWAY,16,9/7/2016,,,,0,0,1,WEST 125 STREET,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10027
QUEENS,Unspecified,Unspecified,,16,9/7/2016,,,,0,0,1,,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11356
QUEENS,Unspecified,Unspecified,JAMAICA AVENUE,16,9/7/2016,,,,0,0,1,168 STREET,12/30/1899 4:09:00 PM,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,11432
Unspecified,Following Too Closely,Unspecified,,16,9/7/2016,,,,0,0,1,THOMPSON STREET,12/30/1899 4:09:00 PM,MOTORCYCLE,BICYCLE,
Unspecified,Unspecified,Unspecified,,16,9/7/2016,,,,0,0,1,WEST 31 STREET,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,16,9/7/2016,,,,0,0,1,WEST BROADWAY,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,LINDEN PLACE,16,9/7/2016,,,,0,0,1,WHITESTONE EXPRESSWAY,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,19,3/7/2017,40.72921,"(40.72921, -73.781166)",-73.781166,0,0,1,188 STREET,12/30/1899 7:30:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
Unspecified,Unspecified,Unspecified,VAN COURTLANDT PATK SOUTH,19,3/7/2017,,,,0,0,1,Gouverneur Ave,12/30/1899 7:30:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
BROOKLYN,Following Too Closely,Unspecified,AVENUE U,19,3/7/2017,40.60981,"(40.60981, -73.92251)",-73.92251,0,0,1,FLATBUSH AVENUE,12/30/1899 7:40:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11234
Unspecified,Passing or Lane Usage Improper,Unspecified,,19,3/7/2017,40.69056,"(40.69056, -73.8141)",-73.8141,0,0,1,LIBERTY AVENUE,12/30/1899 7:45:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
Unspecified,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,CENTRAL PARK WEST,19,3/7/2017,,,,0,0,1,WEST 60 STREET,12/30/1899 7:45:00 PM,SPORT UTILITY / STATION WAGON,TAXI,
Unspecified,Failure to Yield Right-of-Way,Unspecified,,19,3/7/2017,40.79653,"(40.79653, -73.97597)",-73.97597,0,0,1,,12/30/1899 7:45:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Driver Inattention/Distraction,Unspecified,,19,3/7/2017,,,,0,0,1,,12/30/1899 7:45:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
BROOKLYN,View Obstructed/Limited,View Obstructed/Limited,58 STREET,19,3/7/2017,40.62318,"(40.62318, -73.98611)",-73.98611,0,0,1,18 AVENUE,12/30/1899 7:50:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11204
Unspecified,Unspecified,Unspecified,,16,2/8/2017,40.89463,"(40.89463, -73.88229)",-73.88229,0,0,1,,12/30/1899 4:55:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
Unspecified,Unspecified,Unspecified,,1,8/24/2015,,,,0,0,1,,12/30/1899 1:30:00 AM,OTHER,OTHER,
QUEENS,Driver Inattention/Distraction,Driver Inattention/Distraction,,17,2/8/2017,40.773968,"(40.773968, -73.91518)",-73.91518,0,0,1,,12/30/1899 5:00:00 PM,,,11105
Unspecified,Unspecified,Unspecified,,16,9/7/2016,,,,0,0,1,,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,16,9/7/2016,40.6089369,"(40.6089369, -74.1256553)",-74.1256553,0,0,1,,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,16,9/7/2016,40.6224169,"(40.6224169, -73.8964742)",-73.8964742,0,0,1,,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
BRONX,Unspecified,Unspecified,EAST 135 STREET,16,9/7/2016,,,,1,0,1,WILLIS AVENUE,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10454
Unspecified,Unspecified,Unspecified,,17,9/7/2016,40.6913,"(40.6913, -73.9277)",-73.9277,1,0,1,,12/30/1899 5:00:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Driver Inattention/Distraction,Unspecified,,17,9/7/2016,40.718998,"(40.718998, -73.97477)",-73.97477,0,0,1,,12/30/1899 5:05:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
QUEENS,Failure to Yield Right-of-Way,Unspecified,116 AVENUE,19,3/7/2017,40.68676,"(40.68676, -73.78449)",-73.78449,0,0,1,BREWER BOULEVARD,12/30/1899 7:50:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,11434
QUEENS,Driver Inattention/Distraction,Unspecified,91 STREET,1,3/7/2017,40.68498,"(40.68498, -73.85026)",-73.85026,0,0,1,97 AVENUE,12/30/1899 1:10:00 AM,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,11416
MANHATTAN,Driver Inattention/Distraction,Unspecified,,1,3/7/2017,40.85289,"(40.85289, -73.93434)",-73.93434,0,0,1,,12/30/1899 1:14:00 AM,PASSENGER VEHICLE,,10033
QUEENS,Backing Unsafely,Unspecified,,20,3/7/2017,40.71438,"(40.71438, -73.822914)",-73.822914,0,0,1,,12/30/1899 8:00:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11435
Unspecified,Unspecified,,,20,3/7/2017,40.66327,"(40.66327, -73.9951)",-73.9951,0,0,1,20 STREET,12/30/1899 8:00:00 PM,PASSENGER VEHICLE,,
Unspecified,Unspecified,,,20,3/7/2017,40.86906,"(40.86906, -73.88914)",-73.88914,0,0,1,BRIGGS AVENUE,12/30/1899 8:00:00 PM,PASSENGER VEHICLE,,
Unspecified,Driver Inattention/Distraction,Unspecified,ROCKAWAY BOULEVARD,20,3/7/2017,,,,0,0,1,VANWYCK EXPRESSWAY,12/30/1899 8:00:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
QUEENS,Driver Inattention/Distraction,Unspecified,111 STREET,17,2/8/2017,40.696865,"(40.696865, -73.83717)",-73.83717,0,0,1,JAMAICA AVENUE,12/30/1899 5:00:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,11418
QUEENS,Backing Unsafely,Unspecified,223 STREET,17,2/8/2017,40.712116,"(40.712116, -73.73118)",-73.73118,0,0,1,HEMPSTEAD AVENUE,12/30/1899 5:00:00 PM,SPORT UTILITY / STATION WAGON,,11429
STATEN ISLAND,Driver Inattention/Distraction,Unspecified,SLOSSON AVENUE,17,2/8/2017,40.611427,"(40.611427, -74.116844)",-74.116844,1,0,1,REON AVENUE,12/30/1899 5:00:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,10314
Unspecified,Unspecified,,,16,9/9/2016,,,,0,0,1,MONROE PLACE,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,,
BROOKLYN,Unspecified,Unspecified,,17,9/7/2016,,,,0,0,1,,12/30/1899 5:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11217
MANHATTAN,Unspecified,Unspecified,,17,9/7/2016,,,,0,0,1,,12/30/1899 5:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10002
QUEENS,Unspecified,Unspecified,32 AVENUE,17,9/7/2016,,,,0,0,1,137 STREET,12/30/1899 5:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11354
STATEN ISLAND,Unspecified,Unspecified,CORTELYOU AVENUE,17,9/7/2016,,,,0,0,1,EAST BRANDIS AVENUE,12/30/1899 5:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10308
Unspecified,Unspecified,Unspecified,,20,3/7/2017,40.859444,"(40.859444, -73.915985)",-73.915985,0,0,1,,12/30/1899 8:00:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
BRONX,Unspecified,,PITMAN AVENUE,20,3/7/2017,40.896687,"(40.896687, -73.84511)",-73.84511,1,0,1,BAYCHESTER AVENUE,12/30/1899 8:00:00 PM,PASSENGER VEHICLE,,10466
Unspecified,Unspecified,,,20,3/7/2017,40.72202,"(40.72202, -73.98345)",-73.98345,1,0,1,AVENUE B,12/30/1899 8:00:00 PM,,,
QUEENS,Unspecified,Unspecified,111 AVENUE,2,8/24/2015,40.6812604,"(40.6812604, -73.8186788)",-73.8186788,0,0,1,122 STREET,12/30/1899 2:45:00 AM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,11420
Unspecified,Unspecified,Unspecified,PONTIAC STREET,20,3/7/2017,40.624714,"(40.624714, -74.1422)",-74.1422,1,0,1,FOREST AVENUE,12/30/1899 8:00:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
MANHATTAN,Driver Inattention/Distraction,Unspecified,,20,3/7/2017,40.7409,"(40.7409, -73.99201)",-73.99201,0,0,1,,12/30/1899 8:05:00 PM,TAXI,TAXI,10010
BROOKLYN,Unsafe Speed,,,20,3/7/2017,40.617336,"(40.617336, -73.90695)",-73.90695,0,0,1,,12/30/1899 8:10:00 PM,PASSENGER VEHICLE,,11234
Unspecified,Failure to Yield Right-of-Way,Unspecified,,20,3/7/2017,40.722305,"(40.722305, -73.84414)",-73.84414,0,0,1,70 ROAD,12/30/1899 8:10:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
QUEENS,Failure to Yield Right-of-Way,,WILLETS POINT BOULEVARD,17,2/8/2017,40.776997,"(40.776997, -73.8148)",-73.8148,1,0,1,150 STREET,12/30/1899 5:59:00 PM,SPORT UTILITY / STATION WAGON,,11357
BROOKLYN,Unspecified,Unspecified,HOWARD AVENUE,18,2/8/2017,40.676884,"(40.676884, -73.91923)",-73.91923,1,0,1,ATLANTIC AVENUE,12/30/1899 6:15:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,11233
BROOKLYN,Driver Inattention/Distraction,Driver Inattention/Distraction,AVENUE I,18,2/8/2017,40.626568,"(40.626568, -73.970924)",-73.970924,0,0,1,OCEAN PARKWAY,12/30/1899 6:19:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11230
BROOKLYN,Failure to Yield Right-of-Way,Unspecified,DE KALB AVENUE,18,2/8/2017,40.704308,"(40.704308, -73.91924)",-73.91924,0,0,1,WYCKOFF AVENUE,12/30/1899 6:20:00 PM,SPORT UTILITY / STATION WAGON,,11237
Unspecified,Unspecified,Unspecified,,17,9/7/2016,,,,0,0,1,AMSTERDAM AVENUE,12/30/1899 5:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,17,9/7/2016,,,,0,0,1,PELHAM PARKWAY SOUTH,12/30/1899 5:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
QUEENS,Unspecified,Unspecified,HIMROD STREET,18,9/7/2016,,,,0,0,1,FAIRVIEW AVENUE,12/30/1899 6:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11385
Unspecified,Unspecified,Unspecified,JEROME AVENUE,18,9/7/2016,,,,0,0,1,EAST 17 STREET,12/30/1899 6:09:00 PM,MOTORCYCLE,PASSENGER VEHICLE,
BROOKLYN,Unspecified,Unspecified,EAST 29 STREET,19,9/7/2016,,,,0,0,1,AVENUE J,12/30/1899 7:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11210
BROOKLYN,Unspecified,Unspecified,EAST 17 STREET,19,9/7/2016,,,,0,0,1,AVENUE R,12/30/1899 7:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11229
QUEENS,Unspecified,Unspecified,23 AVENUE,19,9/7/2016,,,,0,0,1,82 STREET,12/30/1899 7:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11370
Unspecified,Unspecified,Unspecified,HOLLY AVENUE,19,9/7/2016,,,,0,0,1,KISSENA BOULEVARD,12/30/1899 7:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,19,9/7/2016,,,,0,0,1,NORTHERN BOULEVARD,12/30/1899 7:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,19,9/7/2016,40.710541,"(40.710541, -73.8376548)",-73.8376548,0,0,1,,12/30/1899 7:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,20,9/7/2016,40.6913,"(40.6913, -73.9277)",-73.9277,1,0,1,,12/30/1899 8:00:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
QUEENS,Unspecified,Unspecified,45 STREET,20,9/7/2016,,,,1,0,1,NORTHERN BOULEVARD,12/30/1899 8:09:00 PM,PASSENGER VEHICLE,BICYCLE,11101
Unspecified,Unspecified,,GREENPOINT AVENUE,20,9/7/2016,,,,1,0,1,BORDEN AVENUE,12/30/1899 8:09:00 PM,PASSENGER VEHICLE,,
Unspecified,Unspecified,,,20,9/7/2016,,,,1,0,1,JEWETT AVENUE,12/30/1899 8:09:00 PM,PASSENGER VEHICLE,,
Unspecified,Unspecified,Unspecified,,20,9/7/2016,,,,1,0,1,MASPETH AVENUE,12/30/1899 8:09:00 PM,PASSENGER VEHICLE,BICYCLE,
QUEENS,Unspecified,,,20,3/7/2017,40.755875,"(40.755875, -73.83616)",-73.83616,0,0,1,,12/30/1899 8:20:00 PM,SPORT UTILITY / STATION WAGON,,11354
Unspecified,Driver Inattention/Distraction,,,20,3/7/2017,40.65794,"(40.65794, -73.936874)",-73.936874,1,0,1,WINTHROP STREET,12/30/1899 8:23:00 PM,SPORT UTILITY / STATION WAGON,,
Unspecified,Following Too Closely,Unspecified,,20,3/7/2017,40.656914,"(40.656914, -73.95315)",-73.95315,1,0,1,ROGERS AVENUE,12/30/1899 8:27:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
MANHATTAN,Driver Inattention/Distraction,Unspecified,EAST 59 STREET,20,3/7/2017,40.7606,"(40.7606, -73.96434)",-73.96434,1,0,1,2 AVENUE,12/30/1899 8:30:00 PM,SPORT UTILITY / STATION WAGON,TAXI,10022
BROOKLYN,Unspecified,Unspecified,4 AVENUE,20,3/7/2017,40.62792,"(40.62792, -74.02627)",-74.02627,0,0,1,79 STREET,12/30/1899 8:33:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11209
Unspecified,Following Too Closely,Unspecified,,20,3/7/2017,40.669113,"(40.669113, -73.95336)",-73.95336,1,0,1,ROGERS AVENUE,12/30/1899 8:37:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
QUEENS,Turning Improperly,Unspecified,212 STREET,20,3/7/2017,40.724693,"(40.724693, -73.7541)",-73.7541,0,0,1,HILLSIDE AVENUE,12/30/1899 8:40:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,11427
Unspecified,Other Vehicular,Driver Inattention/Distraction,,20,3/7/2017,40.736412,"(40.736412, -73.74183)",-73.74183,0,0,1,,12/30/1899 8:45:00 PM,PASSENGER VEHICLE,,
Unspecified,Unspecified,Unspecified,,20,3/7/2017,40.590393,"(40.590393, -74.16611)",-74.16611,1,0,1,,12/30/1899 8:45:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,ASTORIA BOULEVARD,20,9/7/2016,,,,4,0,1,49 STREET,12/30/1899 8:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
