Borough,Contributing Factor 1,Contributing Factor 2,Cross Street Name,Hour of the Day,Date,Latitude,Location,Longitude,# Persons Injured,# Persons Killed,# Records,Street Name,Time,Vehicle Type 1,Vehicle Type 2,Zip Code
Unspecified,Following Too Closely,Unspecified,,14,3/7/2017,40.52128,"(40.52128, -74.23946)",-74.23946,0,0,1,ARTHUR KILL ROAD,12/30/1899 2:45:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
BRONX,Driver Inattention/Distraction,Unsafe Lane Changing,MANOR AVENUE,14,3/7/2017,40.824207,"(40.824207, -73.87529)",-73.87529,0,0,1,BRUCKNER BOULEVARD,12/30/1899 2:48:00 PM,PASSENGER VEHICLE,TAXI,10473
Unspecified,Other Vehicular,Other Vehicular,,14,3/7/2017,40.82751,"(40.82751, -73.92495)",-73.92495,0,0,1,GERARD AVENUE,12/30/1899 2:49:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
QUEENS,Unspecified,Unspecified,10 AVENUE,15,9/8/2016,,,,4,0,1,150 STREET,12/30/1899 3:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11357
BRONX,Unspecified,Unspecified,OLMSTEAD AVENUE,16,9/8/2016,,,,0,0,1,BENEDICT AVENUE,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10462
BRONX,Driver Inattention/Distraction,Unspecified,,16,9/8/2016,40.8866248,"(40.8866248, -73.900121)",-73.900121,0,0,1,,12/30/1899 4:09:00 PM,SPORT UTILITY / STATION WAGON,,10463
BRONX,Turning Improperly,Unspecified,BRUSH AVENUE,16,9/8/2016,40.8285193,"(40.8285193, -73.8411794)",-73.8411794,0,0,1,BRUCKNER BOULEVARD,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10465
BRONX,Driver Inattention/Distraction,Unspecified,BRUCKNER BOULEVARD,16,9/8/2016,,,,0,0,1,VIRGINIA AVENUE,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10472
BROOKLYN,Turning Improperly,Unspecified,SHERIDAN AVENUE,16,9/8/2016,,,,0,0,1,SUTTER AVENUE,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,11208
BROOKLYN,Unspecified,Unspecified,Rockaway Avenue,16,9/8/2016,,,,0,0,1,LINDEN BOULEVARD,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,,11212
BROOKLYN,Unspecified,Unspecified,VERNON AVENUE,16,9/8/2016,,,,0,0,1,BROADWAY,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11221
MANHATTAN,Unspecified,Unspecified,MOTT STREET,16,9/8/2016,,,,0,0,1,KENMARE STREET,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10012
STATEN ISLAND,Passing or Lane Usage Improper,Passing or Lane Usage Improper,RICHMOND AVENUE,16,9/8/2016,,,,0,0,1,AMBOY ROAD,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10312
Unspecified,Unspecified,Unspecified,,16,9/8/2016,,,,0,0,1,DELANCEY STREET,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,16,9/8/2016,40.8372127,"(40.8372127, -73.8797063)",-73.8797063,0,0,1,,12/30/1899 4:09:00 PM,PASSENGER VEHICLE,,
BROOKLYN,Driver Inattention/Distraction,Unspecified,,15,3/7/2017,40.66252,"(40.66252, -73.935196)",-73.935196,0,0,1,,12/30/1899 3:00:00 PM,SPORT UTILITY / STATION WAGON,,11203
MANHATTAN,Driver Inattention/Distraction,Unspecified,EAST 50 STREET,15,3/7/2017,40.75331,"(40.75331, -73.96482)",-73.96482,0,0,1,BEEKMAN PLACE,12/30/1899 3:00:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,10022
QUEENS,Driver Inexperience,Unspecified,,15,3/7/2017,40.711716,"(40.711716, -73.8613)",-73.8613,0,0,1,,12/30/1899 3:00:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,11385
Unspecified,,,VANDAM STREET,15,3/7/2017,40.737785,"(40.737785, -73.93496)",-73.93496,0,0,1,BORDEN AVENUE,12/30/1899 3:00:00 PM,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,
Unspecified,Driver Inattention/Distraction,Unspecified,,15,3/7/2017,40.710655,"(40.710655, -73.865585)",-73.865585,0,0,1,COOPER AVENUE,12/30/1899 3:00:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
Unspecified,Unspecified,,,15,3/7/2017,40.729084,"(40.729084, -73.98133)",-73.98133,0,0,1,EAST 12 STREET,12/30/1899 3:00:00 PM,SPORT UTILITY / STATION WAGON,,
BRONX,Unspecified,Unspecified,,17,9/8/2016,,,,0,0,1,,12/30/1899 5:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10466
BROOKLYN,Unspecified,Unspecified,OCEAN AVENUE,17,9/8/2016,,,,1,0,1,NEWKIRK AVENUE,12/30/1899 5:09:00 PM,PASSENGER VEHICLE,BICYCLE,11226
QUEENS,Unspecified,Unspecified,135 AVENUE,17,9/8/2016,40.6685543,"(40.6685543, -73.8098636)",-73.8098636,0,0,1,130 STREET,12/30/1899 5:30:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11420
BRONX,Unspecified,Unspecified,EAST 144 STREET,18,9/8/2016,,,,0,0,1,BRUCKNER BOULEVARD,12/30/1899 6:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10455
BROOKLYN,Unspecified,Unspecified,,18,9/8/2016,,,,0,0,1,,12/30/1899 6:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11213
MANHATTAN,Unspecified,Unspecified,LEXINGTON AVENUE,18,9/8/2016,,,,0,0,1,EAST 66 STREET,12/30/1899 6:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10065
QUEENS,Unspecified,Unspecified,UNION STREET,18,9/8/2016,,,,0,0,1,39 AVENUE,12/30/1899 6:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11354
Unspecified,Unspecified,Unspecified,,18,9/8/2016,,,,0,0,1,JEROME AVENUE,12/30/1899 6:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,18,9/8/2016,,,,0,0,1,PARK AVENUE,12/30/1899 6:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,18,9/8/2016,,,,0,0,1,RICHMOND AVENUE,12/30/1899 6:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
MANHATTAN,Unspecified,,,18,9/8/2016,40.7545345,"(40.7545345, -73.9954558)",-73.9954558,1,0,1,,12/30/1899 6:09:00 PM,BICYCLE,,10018
QUEENS,Unspecified,,,18,9/8/2016,,,,1,0,1,,12/30/1899 6:09:00 PM,PASSENGER VEHICLE,,11355
QUEENS,Unspecified,,49 AVENUE,18,9/8/2016,,,,1,0,1,104 STREET,12/30/1899 6:09:00 PM,PASSENGER VEHICLE,,11368
BROOKLYN,Unspecified,Unspecified,JAMAICA AVENUE,18,9/8/2016,,,,4,0,1,HIGHLAND BOULEVARD,12/30/1899 6:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11208
BRONX,Unspecified,Unspecified,,19,9/8/2016,,,,0,0,1,,12/30/1899 7:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10461
QUEENS,Reaction to Other Uninvolved Vehicle,Unspecified,,15,3/7/2017,40.70738,"(40.70738, -73.79234)",-73.79234,0,0,1,,12/30/1899 3:19:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,11432
BROOKLYN,Unspecified,Unspecified,,15,3/7/2017,40.69663,"(40.69663, -73.91974)",-73.91974,0,0,1,,12/30/1899 3:20:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11221
BROOKLYN,Unspecified,Unspecified,AVENUE O,15,3/7/2017,40.61196,"(40.61196, -73.96816)",-73.96816,0,0,1,OCEAN PARKWAY,12/30/1899 3:20:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11230
BROOKLYN,Oversized Vehicle,Unspecified,,15,3/7/2017,40.70135,"(40.70135, -73.96267)",-73.96267,0,0,1,,12/30/1899 3:20:00 PM,SPORT UTILITY / STATION WAGON,,11249
Unspecified,Driver Inattention/Distraction,Unspecified,72 STREET,15,3/7/2017,40.74877,"(40.74877, -73.893616)",-73.893616,0,0,1,37 AVENUE,12/30/1899 3:20:00 PM,PASSENGER VEHICLE,PICK-UP TRUCK,
Unspecified,Unsafe Lane Changing,Following Too Closely,,15,3/7/2017,40.79537,"(40.79537, -73.921974)",-73.921974,0,0,1,,12/30/1899 3:20:00 PM,SPORT UTILITY / STATION WAGON,,
Unspecified,Driver Inattention/Distraction,Driver Inattention/Distraction,,15,3/7/2017,40.659702,"(40.659702, -73.8786)",-73.8786,0,0,1,ASHFORD STREET,12/30/1899 3:25:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
MANHATTAN,Unspecified,Unspecified,8 AVENUE,19,9/8/2016,,,,0,0,1,WEST 28 STREET,12/30/1899 7:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10001
MANHATTAN,Other Vehicular,,,19,9/8/2016,,,,0,0,1,,12/30/1899 7:09:00 PM,SPORT UTILITY / STATION WAGON,,10027
MANHATTAN,Unspecified,Unspecified,2 AVENUE,19,9/8/2016,,,,0,0,1,EAST 81 STREET,12/30/1899 7:09:00 PM,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,10028
MANHATTAN,Unspecified,Unspecified,,19,9/8/2016,,,,0,0,1,,12/30/1899 7:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10032
QUEENS,Unspecified,Unspecified,102 STREET,19,9/8/2016,,,,0,0,1,ROOSEVELT AVENUE,12/30/1899 7:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11368
QUEENS,Unspecified,Unspecified,150 AVENUE,19,9/8/2016,,,,0,0,1,NORTH CONDUIT AVENUE,12/30/1899 7:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11420
Unspecified,Unspecified,Unspecified,,19,9/8/2016,,,,0,0,1,FLUSHING AVENUE,12/30/1899 7:09:00 PM,PASSENGER VEHICLE,,
Unspecified,Reaction to Other Uninvolved Vehicle,Unspecified,,19,9/8/2016,,,,0,0,1,NORWOOD AVENUE,12/30/1899 7:09:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
Unspecified,Driver Inattention/Distraction,Unspecified,AMBOY ROAD,19,9/8/2016,,,,0,0,1,RICHMOND ROAD,12/30/1899 7:09:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,19,9/8/2016,,,,0,0,1,,12/30/1899 7:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,19,9/8/2016,40.7191256,"(40.7191256, -73.7913993)",-73.7913993,0,0,1,,12/30/1899 7:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
BROOKLYN,Driver Inattention/Distraction,Driver Inattention/Distraction,16 AVENUE,19,9/8/2016,,,,1,0,1,BAY RIDGE PARKWAY,12/30/1899 7:09:00 PM,SPORT UTILITY / STATION WAGON,BICYCLE,11228
BROOKLYN,Unspecified,,SOMERS STREET,15,3/7/2017,40.679516,"(40.679516, -73.90458)",-73.90458,0,0,1,BROADWAY,12/30/1899 3:40:00 PM,PICK-UP TRUCK,,11233
MANHATTAN,Failure to Yield Right-of-Way,Unspecified,EAST 39 STREET,15,3/7/2017,40.74954,"(40.74954, -73.97744)",-73.97744,0,0,1,LEXINGTON AVENUE,12/30/1899 3:40:00 PM,TAXI,PASSENGER VEHICLE,10016
Unspecified,Other Vehicular,Reaction to Other Uninvolved Vehicle,,15,3/7/2017,40.788906,"(40.788906, -73.93765)",-73.93765,0,0,1,,12/30/1899 3:40:00 PM,TAXI,SPORT UTILITY / STATION WAGON,
Unspecified,Driver Inexperience,Driver Inexperience,,15,3/7/2017,40.75834,"(40.75834, -73.95775)",-73.95775,0,0,1,,12/30/1899 3:44:00 PM,SPORT UTILITY / STATION WAGON,TAXI,
BROOKLYN,Unspecified,,CADMAN PLAZA WEST,15,3/7/2017,40.69456,"(40.69456, -73.99067)",-73.99067,0,0,1,PIERREPONT STREET,12/30/1899 3:45:00 PM,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,11201
BROOKLYN,Backing Unsafely,Unspecified,DOONE COURT,15,3/7/2017,40.59038,"(40.59038, -73.95874)",-73.95874,0,0,1,EAST 12 STREET,12/30/1899 3:45:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,11235
Unspecified,Following Too Closely,Unspecified,,15,3/7/2017,40.844776,"(40.844776, -73.93103)",-73.93103,0,0,1,,12/30/1899 3:45:00 PM,PASSENGER VEHICLE,PICK-UP TRUCK,
MANHATTAN,Unspecified,Unspecified,,19,9/8/2016,,,,1,0,1,,12/30/1899 7:09:00 PM,PASSENGER VEHICLE,BICYCLE,10027
QUEENS,Unspecified,Unspecified,69 STREET,1,9/8/2016,,,,0,0,1,GRAND AVENUE,12/30/1899 1:09:00 AM,PASSENGER VEHICLE,PASSENGER VEHICLE,11378
QUEENS,Unspecified,Unspecified,,20,9/8/2016,,,,0,0,1,,12/30/1899 8:09:00 PM,PASSENGER VEHICLE,,11368
QUEENS,Unspecified,Unspecified,146 TERRACE,20,9/8/2016,,,,0,0,1,181 STREET,12/30/1899 8:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,11434
QUEENS,Unspecified,,,21,9/8/2016,40.679794,"(40.679794, -73.83829)",-73.83829,0,0,1,,12/30/1899 9:00:00 PM,SPORT UTILITY / STATION WAGON,,11417
BRONX,Unspecified,Unspecified,WILLIS AVENUE,21,9/8/2016,,,,0,0,1,EAST 135 STREET,12/30/1899 9:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10454
Unspecified,Obstruction/Debris,,,5,8/25/2015,40.7494725,"(40.7494725, -73.7563932)",-73.7563932,0,0,1,,12/30/1899 5:30:00 AM,PASSENGER VEHICLE,,
BRONX,Unspecified,Unspecified,EAST 135 STREET,21,9/8/2016,,,,0,0,1,WILLIS AVENUE,12/30/1899 9:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,10454
STATEN ISLAND,Backing Unsafely,Unspecified,FOCH AVENUE,21,9/8/2016,40.5923669,"(40.5923669, -74.0768376)",-74.0768376,0,0,1,MALLORY AVENUE,12/30/1899 9:09:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,10305
Unspecified,Unspecified,Unspecified,,21,9/8/2016,,,,0,0,1,CLEARVIEW EXPRESSWAY,12/30/1899 9:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Driver Inexperience,Unspecified,,21,9/8/2016,,,,0,0,1,EAST 92 STREET,12/30/1899 9:09:00 PM,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
Unspecified,Unspecified,Unspecified,,21,9/8/2016,,,,1,0,1,,12/30/1899 9:09:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unspecified,Unspecified,,22,9/8/2016,40.717014,"(40.717014, -73.7994)",-73.7994,0,0,1,,12/30/1899 10:00:00 PM,PASSENGER VEHICLE,PASSENGER VEHICLE,
Unspecified,Unsafe Lane Changing,Unspecified,,16,3/7/2017,40.70793,"(40.70793, -73.78383)",-73.78383,0,0,1,JAMAICA AVENUE,12/30/1899 4:00:00 PM,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
Unspecified,Following Too Closely,Unspecified,EAST NEW YORK AVENUE,16,3/7/2017,40.673565,"(40.673565, -73.90788)",-73.90788,0,0,1,STONE AVENUE,12/30/1899 4:00:00 PM,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
